context,responses
<sp1> You are not too bad as well. I also want to have a steamed lobster. It is really taste like heaven. <sp2> Let's go into the restaurant and find a table to order some food. <sp1> Wait. Let me tell the lady what we would like to order in front of the seafood fridge first.,"Ok. I will tell you what I want.<SEP>Ok, I will tell you what I want.<SEP>Sure . Let's decide on what else we want to order and then find a table to place our orders."
<sp1> You are right. <sp2> This is the very thing I've been dreaming of. <sp1> It is the best quality porcelain-the famous egg-shell China.,"You can see why we all dream of it.<SEP>It's the best porcelain I've ever seen.<SEP>I'll take it.<SEP>It is truly a remarkable piece, and I am thrilled to see your excitement. The egg-shell china is renowned for its exquisite quality, and having it in your possession is certainly a dream come true. Enjoy the beauty of this extraordinary piece for years to come.<SEP>Oh, It's so beautiful!<SEP>And it is so delicate."
"<sp1> I don't want to do that to you, Karen. <sp2> Why not? <sp1> Your own kids would get Suzy's cold. I think it would be better to have a good babysitter here. But I don't know who to ask. I need someone more mature than Jill. It might even be for two or three days.","I think Jill would be a good choice.<SEP>Well, I would be happy to help you out as a babysitter. I am more than capable of taking care of Suzy during this time.<SEP>I don't think Jill will be able to handle it.<SEP>I know who we can ask. There is a girl I know, Sara Ralston. She is 17, And she will usually take this kind of job. I know her from my church, And I trust her completely."
<sp1> Draft beer and cans beer. Which do you prefer? <sp2> A draft beer please. <sp1> Ok. Here you are.,Thanks a lot.<SEP>Thank you.<SEP>Could I have some fruit?
<sp1> That's fine. What about operating the fax and duplicator? <sp2> I can handle them without any trouble. <sp1> What have you learned from jobs you have held?,"I have gained valuable skills and knowledge in operating various office equipment, including fax machines and duplicators. I'm confident that I can handle these tasks proficiently and without any difficulty. In addition, I also learned the importance of communication, time management, and teamwork in successfully accomplishing workplace tasks. My experience allows me to easily adapt to different work environments, and I believe my skills will be a valuable asset to the team.<SEP>I learned that it's OK to ask for a raise, And to accept offers that are good for the company.<SEP>Above all, I have learned that what is good for the company is good for me. So I follow the instructions strictly and always keep my boss informed.<SEP>I have learned a lot from my work experience.<SEP>I've gained experience in operating various office equipment, including fax machines and duplicators, from my previous jobs. These skills have helped me become proficient in handling these tasks without difficulty. Additionally, I have developed the ability to multitask and work efficiently in a fast-paced environment."
"<sp1> Professor, I am Kalina from your morning literature class. <sp2> Yes, How can I help you? <sp1> I ran my car into a tree yesterday and need to miss a few days of school.","Oh, My God! I hope you are all right.<SEP>I'm sorry to hear about the accident, Kalina. Please take the time you need to recover and return safely. Let me know when you are able to return to class and we can work out an arrangement.<SEP>I am so sorry to hear that.<SEP>Are you alright?"
<sp1> Of course. The fitting room is right over there. <sp2> Do you have a medium in the same color? This one is a little tight. <sp1> L'm sorry. All the black of that size are sold out. Would you like a red one?,"Yes, I'd like a red one.<SEP>Ok. Let me try it on. What do you think?<SEP>No, thank you. I'm only interested in purchasing the black size in question."
"<sp1> Hi, This is Kalina from your morning literature class. <sp2> Yes, What can I do for you? <sp1> I had a skydiving accident over the weekend and won't be able to come to school today.","Oh, I'm sorry to hear about your accident. I hope you feel better soon. Is there anything I can do for you, or anything you need to know in regards to today's class or our assignment?<SEP>Oh no! I'm really sorry to hear that. I hope you're feeling better soon. In the meantime, I'll let your other classmates know about your situation and help you catch up on any work you might have missed. If there's anything else I can do, please don't hesitate to let me know.<SEP>My goodness! Are you OK?"
"<sp1> Good afternoon! Did you call for a plumber? <sp2> Yes, Yes I did. Please come in! I'm so glad you came! This old house is falling apart! Come on into the bathroom. See, Here, There's water leaking everywhere! <sp1> I see. Let me have a look. It seems that your toilet is clogged, And that's why it won't flush. Let me just get my plunger. No, That's not working either. I suspect that there's some sort of foreign object in the pipes that ‘s causing a blockage. That's what's making your toilet overflow.","What foreign object?<SEP>Oh, That must be because of my four-year-old daughter. She is always flushing things down the toilet. You know how kids are.<SEP>It's too bad! But, What do you mean?<SEP>Oh, I see. I'll just drain the toilet and try again."
"<sp1> A little, I wish I could do that. <sp2> You can! With a little practice. <sp1> Look at him, He's buff.","And he's healthy.<SEP>You just need dedication and consistency in your exercise routine, along with a balanced diet, and you can build muscles and achieve that level of fitness. Remember, practice makes perfect, so keep trying and don't give up.<SEP>Yeah, He's a real gym rat.<SEP>That's right! With dedication and consistency, you can also achieve that level of fitness. Just start small, and gradually increase your efforts over time. Remember, it's not just about physical exercises, but also about maintaining a healthy diet and getting enough rest. You can do it!"
"<sp1> Good day! Welcome to Lincoln Bank, How may we assist you? <sp2> Hello. I need to find out if a Receipt of Proceeds has arrived. I'm from Felix Wasserman Associates. <sp1> Thanks. Have you got the L / C number?","Yes, I do. And it's 323421.<SEP>Yes, Here it is. L / C 5273864.<SEP>Yes. It's 5631280."
"<sp1> Now that's more like it! Bananas have lots of potassium, Too! <sp2> They're also good for your digestion! Would you like some kiwis, Too? <sp1> Are they from Taiwan?","No, They're from New Zealand. They're actually quite healthy!<SEP>They're imported from New Zealand. Four for 50NT. Nine for a hundred.<SEP>No, They're from Malaysia!<SEP>Yes, They're from Taiwan."
"<sp1> That's a nice discount. <sp2> Here. Let me give you an application form. <sp1> Thank you, But I'm just browsing today.","Are you sure you don't want to apply for the discount?<SEP>Okay. Enjoy your browsing.<SEP>Oh, Really? You're such a killjoy."
"<sp1> Can I help you? <sp2> Yes, I'm in a bit of a rush. Could I have a piece of apple pie please? <sp1> Certainly. Would you like it with ice cream?","That would be lovely.<SEP>Certainly. That would be wonderful.<SEP>Yes, I'd like that.<SEP>No, Thanks. I would like it with some fruit."
<sp1> I parked in the red zone. <sp2> Why did you do that? <sp1> I needed to get something really quick.,"It's not a big deal.<SEP>Parking in the red zone was not the right decision in this situation. The appropriate action would have been to find a legal parking spot or find an alternative method to quickly retrieve the item you needed. Remember to always follow parking regulations to avoid any potential fines or issues in the future.<SEP>Well , it's still not allowed even if you needed it quickly. You shouldn't have parked there."
"<sp1> Let's make it a formal affair. <sp2> Yes, That would be best. Now, For food should we have Chinese or American food? <sp1> American food would be the best choice.","Ok, Then we should go to the restaurant that serves American food.<SEP>We will serve American food at the formal affair.<SEP>That would be great. What kind of music would you like, A band or recorded music?<SEP>Ok, Let's order food.<SEP>Alright. That sounds fine."
<sp1> Ok. <sp2> Here's your receipt. <sp1> Thank you.,And thanks for shopping with us.<SEP>You're welcome. Please come again.<SEP>You're welcome. Have a great day!
"<sp1> How long will you stay in New York? <sp2> Just tor three days. I won't need these luggages. CouId I put them here? <sp1> I am sorry. If you have here more than 24 hours between connecting flights, We can't check your luggage through London.","Well, as I mentioned earlier, I will only be in New York for three days. However, if you could arrange for me to check these luggages through to London, I would greatly appreciate it. Is there any way that can be done?<SEP>I see.<SEP>Well, Maybe I can put them in the airport storage there.<SEP>But you can check these luggages here."
"<sp1> My mother-in-law just went into the hospital in L. A. Hank and I will be flying there tonight. <sp2> I'm sorry to hear it. What's wrong with her? <sp1> Doctors aren't sure yet. But the real problem is Suzy. She has a bad cold, And we don't want to take her with us. But we don't know who can stay with her.",I can stay with Suzy .<SEP>You need a babysitter.<SEP>I can promise you she will stay with us tonight.<SEP>I'm sorry to hear about Suzy's cold. Do you think you could ask someone from the family or close friends to help out? It might be best not to take her on the trip if she's not feeling well.
<sp1> Hey! What are you doing here? <sp2> I'm just shopping. <sp1> What are you shopping for?,I'm looking for some shoes.<SEP>A sweater.<SEP>I don't know yet.<SEP>Some new clothes. How about you?
"<sp1> Very nice. Thank you. <sp2> Would you like this to-go? <sp1> Yes, Can you put it in a plastic bag?","No problem. Here you go.<SEP>Of course, I'll get everything ready for you.<SEP>Sure, No problem. Here you are. That'll be 25 dollars.<SEP>Sure. Anything else?<SEP>Of course! I'll put your sandwich in a plastic bag for you."
"<sp1> The head office is in New York, But I'll be dealing with overseas companies and flying to this side of the world from time to time. <sp2> It'll be sad to see you go, But it sounds like you're found yourself a great opportunity. <sp1> I have. I feel lucky. I look forward to dealing with overseas companies and at the same time having a chance to use English more.","You'll get a chance to do both. I hope you can handle the challenges.<SEP>I'm sure you'll do well.<SEP>It sounds like you're really excited about the new opportunity, Speaker A! It's great that you get to use English more and work with overseas companies. Good luck with everything and make sure to update us on your adventures!<SEP>Congratulations on that. You're quite an international lawyer.<SEP>I'm sorry to bring this up, But would it be possible for you to write me a letter of recommendation before you go?"
<sp1> Was anything stolen? <sp2> I haven't checked yet. <sp1> Why do you think there was a break-in?,"I'm not sure, but it's possible that the burglars were targeting a specific item or were simply looking to steal anything of value. We'll have to wait for the police report to find out more.<SEP>I don't know.<SEP>My front window was broken.<SEP>I think there was a break-in because the door appeared to be open, and there are signs of forced entry."
"<sp1> All right. I want to bring everybody back on this subject. When can we start working on this? <sp2> Well, We could probably get started with a preparatory meeting this afternoon at 2:00. <sp1> I tell you what, 2:00 is not available for me, But you can get started and I'll come by at around 3:00.","All right, I'll see you then.<SEP>That's fine with me. How much time are we going to have to work on this?<SEP>Sure, that works for me. I'll reserve the room at 2:00 but we can begin at 3:00 instead. Looking forward to your input.<SEP>Sure , let's meet at 3:00 instead of 2:00 . Looking forward to the preparatory meeting .<SEP>Sure, we'll start the preparatory meeting at 2:00 and I will inform you as soon as it is completed. If you are not able to join us by 3:00, we will proceed with the preparation without you and fill you in on the details later. We aim to be flexible and accommodating to all involved parties, so please feel free to let us know if there are any further changes in your availability."
"<sp1> I'd like to make an appointment with Dr. Cooper. Could you arrange it for me? <sp2> Yes. Would tomorrow morning be all right with you? <sp1> Sorry, I've got a meeting from nine to ten. What about Monday afternoon?","No problem.<SEP>I'm afraid he's fully engaged. Could you make it another time?<SEP>Certainly, I can arrange a Monday afternoon appointment for you at that time."
"<sp1> Thanks for inviting me to work out with you, Joan. <sp2> Don't mention it, Let's go in. <sp1> Yeah, This place looks great. Wow, Look at her, She can certainly get down, Can't she?","Yeah , she really knows how to move. She's amazing!<SEP>Yeah, She does, It seems she's got the energy and stamina to handle herself.<SEP>Yeah, she's definitely got some moves! Let's find a good spot to work out together."
"<sp1> Do you speak English? <sp2> Yes, A little. <sp1> Can you tell me how to get to the Jade Buddha Temple?","I'd be happy to help you with directions to the Jade Buddha Temple.<SEP>Walk straight down the street, Past the three shopping areas. The first is the Friendship Mart.<SEP>Yes, You have to go to the east side of the city and walk around it.<SEP>First, You need to get off the highway and turn right at the traffic lights.<SEP>Walk along the main street. You'll see a big bus stop there."
"<sp1> No, I'm afraid not, Mary. May I take a message for her? <sp2> Yes, Please tell her that band practice has been moved to Tuesday night at eight thirty. <sp1> O. K. No problem. Anything else?","No, Thanks.<SEP>I have to talk to her on the telephone about the new promotion that she has planned.<SEP>No, But if she has any questions, She can call me at 555-2345."
"<sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE. <sp2> Have you got anything to ask me? <sp1> Yes, Can you tell me what's my responsibility in this position?","Yes, Your job is to provide our clients with information on our products. Your responsibilities include technical support, Analysis, Testing and bug hunting.<SEP>Yes, It is to make sure that the clients receive the output in the most satisfactory way.<SEP>Sure, in this position, your responsibility would be to maintain and update the network programs you have designed using Visual C + +. Additionally, you would have to ensure that the software operates smoothly and efficiently to meet the company's needs.<SEP>Yes, Of course. You would be responsible for the development of software products.<SEP>Of course. First of all, You must make the programs as easy to understand as possible."
<sp1> How? <sp2> There were a number of reasons. <sp1> What were they?,"First, They were about my daughter's exams.<SEP>Okay, the main reasons were...<SEP>The number one reason was the weather report.<SEP>Basically, You just can't drive."
"<sp1> House keeping. May I come in? <sp2> Come in please. <sp1> Good evening, Sir. I come to make the bed. Shall I do it now or later?","Now, Please.<SEP>Later.<SEP>Well, Since you have come, Do it now please?<SEP>Good evening, I'd appreciate it if you could make the bed now. Thank you very much."
"<sp1> L'm sorry. All the black of that size are sold out. Would you like a red one? <sp2> Ok. Let me try it on. What do you think? <sp1> Oh, That suits you very well. Besides it is believed in China that the red color brings happiness and good luck.",Really? I'II take it and I'm leaving here tomorrow. Is it possible for you to send one in black to me by mail when you get it in?<SEP>I would love to hear more of this cultural tradition . Can you tell me more about it ?<SEP>How nice! Do you have the same in green?
<sp1> I know what you mean. I ought to wear right clothes at the right time. <sp2> You got it. Only in this way can you gain the respect of the interviewer and his confidence in your judgement. <sp1> It seems that 'clothes make the man'.,"It may not be true, But the first and lasting impression of you is determined by your clothes and behavior.<SEP>You're right. It's important to dress appropriately for the occasion and to make a good impression during an interview. Clothes may not make the man entirely, but they do play a significant role in how others perceive us.<SEP>It's true that appropriate attire can give you an edge in job interviews, as you've realized. Paying attention to details like clothing choice can help you make a positive impression and boost your chances of success. Remember that a professional appearance is just one aspect of building trust and respect, but it's an important one to consider. Keep in mind that dressing appropriately is not about trying to impress people; rather, it's about showing that you're committed to the task at hand and ready to take on responsibilities with integrity. With that in mind, keep practicing good grooming habits and try to find out the specific expectations of the interviewer, if possible. This will help you make the most informed decision possible when it comes to your wardrobe for the interview. By taking these steps, you'll be well on your way to ensuring that your attire contributes positively to your overall interview experience.<SEP>So true. It's important to present oneself in the best possible light during job interviews or important meetings, and wearing the right clothes is a key part of that."
"<sp1> What can I show you? <sp2> Do you have this shirt in a small? <sp1> Let me check. Yes, We have.","Thank you very much.<SEP>How much is it?<SEP>May I try it on?<SEP>Perfect , I would like to try the small shirt please."
<sp1> What are the charges you're referring to? <sp2> The last four charges on the page. <sp1> I'm afraid we're going to have to investigate these charges.,"Yes, I understand.<SEP>What kind of investigation do you mean?<SEP>How long will an investigation take?"
<sp1> I see. This is my advantage. <sp2> Good. Have you got any other questions? <sp1> No.,"Alright, thank you for your time.<SEP>Thank you very much.<SEP>I have a question for you.<SEP>Ok, I will contact you in a week. See you."
<sp1> How may I help you? <sp2> I'm having a problem. <sp1> What problem are you having?,I'm having trouble with my rent.<SEP>I have a virus that is infecting my computer.<SEP>My account is not working.<SEP>I've lost my wallet.<SEP>There have been charges made on my debit card that I didn't make.
<sp1> Why? <sp2> The task is tough. <sp1> You'd look before you leap.,"Thanks for your concern.<SEP>It's no laughing matter.<SEP>I understand your concerns, but sometimes taking a calculated risk can lead to great rewards. It's better to try and possibly fail than to never try at all."
"<sp1> Sorry, I forgot. I don't like seafood, Neither. <sp2> Let's go over there and get some milk, A couple dozen eggs and some orange juice. <sp1> Let's get frozen juice. It is really good. We'Ve got enough food. Let's go over to the check-out stand.",How much is that going to cost?<SEP>Ok. But just let me pick up a bottle of cooking wine and oil as we go by.<SEP>Ok. Let's go.<SEP>How about some cheese and peanut butter while we are at it?
<sp1> I need 30 for my Christmas cards. <sp2> Are you sending them abroad? <sp1> Twenty of them are going abroad to China and America.,"Ok. Let's check them out.<SEP>That's a lot of money for the holidays.<SEP>Do you have any going anywhere in the EU? If you do, Those are less expensive.<SEP>You are so lucky."
<sp1> What would the roses cost me? <sp2> They're only $ 20 a dozen. <sp1> I like the sound of that.,"It's a very nice flower.<SEP>Yes, That is today's sale price.<SEP>They'll sound good too."
<sp1> I really need to start eating healthier. <sp2> I have to start eating better too. <sp1> What kind of food do you usually eat?,"Well, I really need to reduce my intake of processed foods, sugary treats, and deep-fried meals. I plan on incorporating more fruits, vegetables, and lean proteins into my diet instead.<SEP>I usually eat a little spicy food and some meat.<SEP>I usually eat chicken and potatoes.<SEP>Well, I try to eat lots of fruits, vegetables, and lean protein, and I stay away from processed foods and fast food. I also make sure to stay hydrated by drinking plenty of water.<SEP>I usually have a mixed diet."
"<sp1> Yes, Can you tell me what's my responsibility in this position? <sp2> Yes, Of course. You would be responsible for the development of software products. <sp1> I see. This is my advantage.","Great! In your role, it is crucial that you set clear goals for yourself and the team, stay up-to-date with the latest industry trends and technologies, and ensure that the software products you develop are user-friendly and effective in meeting the customers' needs. It is also essential to maintain a high level of communication and collaboration with the team members and other stakeholders to ensure seamless product development and delivery.<SEP>Good. Have you got any other questions?<SEP>Yes, I am glad to hear that you see your experience with software development as an advantage in this position.
In this context, the respondent acknowledges the advantage in Speaker A's skillset and highlights that the development of software products is the responsibility of the position.<SEP>Yes. The company is in the fast-moving software field. You are a technical genius. You will have great responsibility."
"<sp1> You look upset, Anything wrong? <sp2> I'm going to quit the job. <sp1> Why?","Because the company is not doing well.<SEP>I have been thinking of starting my own business.<SEP>I'm really struggling with my role here, and I think it's time for a change.<SEP>I don't feel like doing my job well enough."
<sp1> I got a ticket yesterday. <sp2> Really? What did you get one for? <sp1> I parked in the red zone.,"Oh no, that's unfortunate. Make sure to be more careful with parking next time.<SEP>That's a serious offence.<SEP>Why did you do that?<SEP>That's too bad."
"<sp1> Good evening, Sir. I come to make the bed. Shall I do it now or later? <sp2> Well, Since you have come, Do it now please? <sp1> That's all. Have a nice stay here.","Thank you. Please get some soap for us.<SEP>Good-bye.<SEP>Thank you.<SEP>Thank you, Bye-bye.<SEP>Thank you for your help."
<sp1> A bank's acceptance will add to the costs of our imports. You can rest assured that we will accept the draft and honour it when it comes due. <sp2> Then we will be in a position to arrange for a loan from our bank. You know we exports would like to have our investments returned as early as possible. <sp1> I hope this transaction will pave the way for further business relations between our two countries.,"Certainly, It will be the first step to establish a permanent trading agreement between us.<SEP>I hope we can conclude the transaction in a timely manner.<SEP>We hope so, Too.<SEP>I hope we can conclude this transaction as soon as possible."
"<sp1> Twenty of them are going abroad to China and America. <sp2> Do you have any going anywhere in the EU? If you do, Those are less expensive. <sp1> No.","That's a shame.<SEP>Ok, Here you go. That will be 18 pounds and seventy two pence.<SEP>Do you have any going to Japan?"
<sp1> Good evening. What'll you have? <sp2> I'd like a beer. What kind of beer do you have? <sp1> Draft beer and cans beer. Which do you prefer?,"Cans beer. I'll have a tall glass of it.<SEP>I'd prefer draft beer, Please.<SEP>I would prefer a draft beer. Thank you.<SEP>A draft beer please."
"<sp1> Hi, George. I'm going to have a job interview next week. Could you give me some advice? <sp2> Sure. First of all, It's very important for you not to be late. Job interviewers usually don't think very highly of a candidate who arrives ten minutes after the appointed time, Only to explain that he could not find the place or that there was heavy traffic. <sp1> Yeah, That's very important.","So you'd better explore the place the day before and at the same time, Look around to see what the employees are wearing. So the next day you will arrive early for the appointment.<SEP>Absolutely. Next, it's crucial to dress professionally for the interview. Even if the company has a casual dress code, you should still wear professional clothing. This shows that you're serious about the job and that you care about making a good impression. Additionally, be sure to research the company well beforehand so you can speak knowledgeably about their values and mission. Lastly, be prepared to answer common questions such as ""What are your strengths and weaknesses?"" and ""Why do you want to work for our company?"" By being well-prepared and confident, you'll have a strong chance of impressing your interviewer and landing the job.<SEP>If you miss the scheduled time, It's highly probable that you will be passed over for the position."
"<sp1> Excuse me, Could you tell me which line I'm supposed to stand in to buy bubble wrap and to post a package? <sp2> You can buy the bubble wrap here, But you'll have to stand in line over here to post your passage. <sp1> That's a really long line. How long do you think it'll take to get through all those people?","About 15 minutes.<SEP>I'm not sure. But I'm sure it won't take long.<SEP>It takes about 3 minutes per person, So it'll probably be about an hour's wait.<SEP>The line to post a package might take around 15-20 minutes, depending on how many people are in front of you, but it can vary.<SEP>It'll probably take about 20 minutes."
"<sp1> No, Thanks. I already have credit cards. <sp2> But our credit card saves you 10 percent. <sp1> That's a nice discount.","Well, It's only good if you shop here regularly.<SEP>That's what I thought.<SEP>Sure, It is.<SEP>Here. Let me give you an application form."
"<sp1> What kind of food do you usually eat? <sp2> I try my best to eat only fruits, Vegetables, And chicken. <sp1> Is that really all that you eat?","That's basically it.<SEP>Yes, I have some other meals occasionally , but I prefer those items.<SEP>Not exactly. I also enjoy some healthy cereals, whole-wheat bread, and lean meat, but primarily fruits, vegetables, and chicken.<SEP>Yes, I do my best to consume a balanced diet focusing on whole foods like fruits, vegetables, and chicken. While I do occasionally enjoy other dishes, these are the main food sources I regularly consume."
"<sp1> Mainly because we've invested in a heat recovery system. <sp2> What does that mean exactly? <sp1> Well, We use the exhaust gases from our printing presses to provide energy to heat our dryers.","What does that mean for your dryers?<SEP>Cool! That's really smart.<SEP>What other sources of energy do you use?<SEP>Oh, That's very useful. I guess it's important to do this.<SEP>Thank you for the clarification, Speaker A. The use of the heat recovery system is beneficial in making our process more environmentally friendly and efficient."
"<sp1> Well, Have you ever heard of Oulong tea and compressed tea? <sp2> Oh, Yeah. Oulong tea is good for one's health. Isn't it? <sp1> You surely know a lot about Chinese tea.","Yes, you're right. I am quite interested in Chinese tea and its health benefits.<SEP>Yes, I also know that compressed tea helps with weight loss. Have you tried it before?<SEP>Yeah, I did grow up in China.<SEP>Yes, I have studied in Beijing for three years.<SEP>Sure, I like drinking tea at teahouses."
"<sp1> I got my connections! Just tell me what you want and I'll even give you one ounce for free. <sp2> Sounds good! Let's see, I want. <sp1> Yeah?","How much for a quarter ounce, Mr. Brown?<SEP>I want some oranges, apples, and bananas. Could you please provide me with a pound of each?<SEP>Let me guess, I am looking for something a little different from regular stores. I ”m looking for something a little different from the conventional stores."
"<sp1> Oh, So do I. <sp2> Why don't we go for one now? <sp1> Great. We can chat while enjoying a cup there.","Let's go!<SEP>Great. I'll meet you there.<SEP>""Let's head to a coffee place and catch up then!""<SEP>Shall we decide which one to go to, and when we should meet there?<SEP>Okay, Let's go!<SEP>Sounds good. I'll be ready to go in about an hour."
"<sp1> I also have blow if you prefer to do a few lines. <sp2> No, I am ok, Really. <sp1> Come on man! I even got dope and acid! Try some!","Alright man, I am up for it, you've got my curiosity piqued. Let's do this.<SEP>Do you really have all of these drugs? Where do you get them from?<SEP>I don't want to take any more drugs today! I just got the acid.<SEP>Nah, I'm good with the booze. No need for the hard stuff."
<sp1> What's in adahl? <sp2> It's got chickpeas and vegetables in a spicy curry sauce with rice. <sp1> That sounds nice. Do you want to share some kebabs as well?,"Sure, I'd love to. Do you have any pierogis?<SEP>I'd love to.<SEP>Sure. They're good too.<SEP>I'll share some kebabs with you. I have some chicken breasts and jalapenos.<SEP>That sounds great! Let's add some kebabs to the menu as well."
"<sp1> Hey. Why did you take that money? You are such a cheater! I should send you to jail! <sp2> I am not cheating. When you pass go, You collect $ 200, Everyone knows that! <sp1> Well you can't just take the money. You have to ask the bank for money. And I'm the banker.","Alright. I apologize. Here is the money back.<SEP>I don't know what you are talking about.<SEP>Banker?<SEP>Well, I didn't know you were the banker. In that case, I apologize for taking the money. But as per the rule of the game, when you pass go, you collect $200, and I just followed the rule. Let's continue the game with that in mind, and I'll be careful about asking for permission in the future."
<sp1> I have no idea what the entertainment should be. <sp2> Let's make sure we are on the same page. Do we want a formal or informal gathering? <sp1> Let's make it a formal affair.,"What do you mean by ""formal affair""? Do you mean a formal dinner, or do you mean a more formal environment overall?<SEP>Sure, let's go with a formal entertainment for the occasion.<SEP>Good idea. What kind of music do we want?<SEP>Yes, That would be best. Now, For food should we have Chinese or American food?"
"<sp1> I beg your pardon? <sp2> Oh, French dressing. <sp1> Sorry, It's not available now. Anything else?","That's all.<SEP>Well, I'd like to have some wine, Please.<SEP>No, That'll be it. Thank you."
"<sp1> Excuse me. I have an appointment with Mr. Li at nine. May I come in? <sp2> Yes, Come in please. I am Mr. Li. You must be My Liu, Right? <sp1> Yes, I am My Liu. Thanks.","My pleasure.<SEP>I'd like to start this interview with some questions. Why do you think you are qualified for this position?<SEP>No problem . How may I assist you today ?<SEP>You're welcome, Mr. Li. It's nice to meet you."
"<sp1> Oh, Would you do me a favor? <sp2> Yes? <sp1> Please mail this letter for me on your way to the store.","Sure! I'll be happy to mail the letter for you.<SEP>I'll be happy to mail it for you .<SEP>Sure. Do you want it to be registered?<SEP>Sure, no problem. I'll mail it for you on my way to the store."
"<sp1> O. K. No problem. Anything else? <sp2> No, But if she has any questions, She can call me at 555-2345. <sp1> All right, I'll leave her the message, Mary. Thanks for calling.","Thank you. Bye.<SEP>No problem. Bye.<SEP>You're welcome.<SEP>No problem.<SEP>You're welcome. If she needs to ask me anything, please have her call me."
<sp1> Sound great. Let's go! <sp2> Look at the crystal clear fridge. You can see so many kinds of seafood in it. They all look very fresh and delicious. <sp1> True. I would like to have some salmonsashimi and a roast salmon head.,"Oh, Right. This is a very healthy option.<SEP>Ok, I'll bring the food. And you will bring the wine and spirits.<SEP>Sure, let's grab some salmon sashimi and roast salmon head. They both sound amazing. And I love how fresh everything looks in that fridge too.<SEP>You sound like a seafood expert. I would like to have some stir-fried squids and steamed shrimps.<SEP>That's a good choice. Both dishes are highly recommended."
"<sp1> Hi there, I want to reserve a hotel room. <sp2> No problem at all. Could I have your full name, Please? <sp1> Sure, John Sandals.","Thank you for providing your full name, Mr. Sandals. To reserve the hotel room, we just need your arrival and departure dates, as well as the number of guests in your party.<SEP>Would you like a room with a view, Please?<SEP>Hi, Mr. Sandals. I'm Michelle, At your service. When do you need the room?<SEP>Certainly, Mr. Sandals. Can you please provide me with the dates of your stay, as well as the number of rooms and types of accommodation you'd like to reserve?"
"<sp1> By the way miss, Where is the toilet? <sp2> Toilets are in the rear, I am afraid all the toilets are fully occupied at the moment. <sp1> What? Oh, What we live! Thank you very much for your help, Miss.",My pleasure.<SEP>You are welcome.<SEP>It's no problem at all.<SEP>That's all right. I hope you will have a good holiday.<SEP>It's my pleasure.
"<sp1> Well, I wanted to let you know that I've put in my notice. <sp2> Really? Why? <sp1> It's complicated. But basically it boils down to one thing. This company is downsizing and I can't continue working for a company that may let me go.","You mean you are quitting?<SEP>But surely they won't fire you! You're one of the most experienced managers here!<SEP>I understand your concerns and decision to move on. It's never easy to leave a job, but sometimes it's necessary for personal and professional growth. I wish you all the best in your future endeavors.<SEP>Understood . You have to do what is best for you and your family ."
"<sp1> I apologize, But I didn't realize that I did. <sp2> Weren't you taught that yellow means slow down, Not speed up? <sp1> I did learn that.","You should also remind yourself of this fact in the future.<SEP>That's a good lesson.<SEP>You are a fast learner, But you are not fast enough to go faster than the speed of light.<SEP>So, Then why did you speed up?"
"<sp1> Sure. It's to raise money for the homeless. <sp2> What about the performance itself? <sp1> Oh, It's a reserved opera named The Monkey Creates Havoc in Heaven.","Wow, A story about the clever Monkey King. It's a classic and children's favorite.<SEP>What's the plot of the opera?<SEP>How much does it cost?<SEP>It sounds great. What is it about?"
<sp1> What are you shopping for? <sp2> Some new clothes. How about you? <sp1> Same here.,"What kind of clothes are you going to buy?<SEP>What do you want to buy?<SEP>I like those. They're cheap, But not very fashionable.<SEP>Oh yeah? What are you looking for specifically? I'm checking out the latest fashion trends and styles. Maybe we can help each other out. What about you?<SEP>Do you want anything in particular?"
<sp1> What about a draft at 120 days sight? <sp2> All right. But we demand the draft be accepted by a bank acceptable to us. <sp1> A bank's acceptance will add to the costs of our imports. You can rest assured that we will accept the draft and honour it when it comes due.,"We will appoint a bank's guarantor.<SEP>All right. We will make a decision by the draft board. We will notify the bank.<SEP>That sounds fine to me. I trust you will honor the draft when it comes due.<SEP>I understand your concerns, but I would like to emphasize that the draft must be accepted by a bank that we both agree upon. We must ensure a seamless transaction and a trustworthy financial institution to handle the exchange. A bank's acceptance is crucial to guaranteeing the efficiency of our imports. If you are confident in accepting the draft and honoring it when due, we can proceed accordingly."
"<sp1> Do you take credit cards? <sp2> Yes, We accept Visa and MasterCard. <sp1> Ok, Here you are.",I am very sorry to hear that you have to pay a hefty duty.<SEP>That's it for now. Thank you very much.<SEP>Thanks. I'll be right back.<SEP>Thank you very much. Have a safe trip!
<sp1> I need to buy some flowers for my wife. <sp2> Perhaps you'd be interested in red roses. <sp1> What would the roses cost me?,"The cost of the red roses would be approximately $25 to $30.<SEP>The cost varies greatly from place to place. But you would have to go to the rose trading place.<SEP>The cost of a dozen red roses can vary depending on the type, size, and quality of the flowers, as well as the location where you purchase them. In general, expect to pay between $30 to $80 for a dozen red roses.<SEP>Just $ 5.<SEP>Twenty dollars a dozen.<SEP>It's $ 20 a dozen."
